,id,text,annotations,meta,annotation_approver,Unnamed: 5,Unnamed: 6,Unnamed: 7,aspect1,aspect2,aspect3,aspect4,aspect5,aspect6,aspect7
1716,886183,tã thấm hút tốt không trào vón vành lưng hơi thô cứng khó_chịu bé ngứa mẫn,"[{'label': 328, 'user': 15}, {'label': 322, 'user': 15}]","{'review_id': 2548, 'comment': 'tã thấm hút tốt, không bị trào hay vón lại nhưng vành lưng hơi thô cứng gây khó chịu cho bé,ngứa mẫn đỏ', 'summary': 'Hài lòng', 'annotations': {'23': ['chất lượng -'], '28': ['an toàn +', 'chất lượng +']}}",,,,,0,0,0,1,0,1,0
1717,886182,mua bỉm pampers chưa 4k / miếng pampers bỉm mỏng bobby huggies bobby dải_băng_dính miếng tã pampers dòng dáng vạch báo tiểu dải_băng_dính miếng tã ( cực_kỳ tiện gói tã bé đi thẩm_mỹ không phát_tán mùi ) giá_cả chất_lượng pampers dáng hội tủ tiêu_chí : vạch báo tiểu bỉm mỏng dải_băng miếng tã bỉm phân khúc bình_dân dòng cao_cấp đủ 3 tiêu_chí kết khả_năng dáng pampers bé bé trai bỉm dồn xong bỉm xệ hơi phẩm_giá tốt chất_lượng tốt,"[{'label': 321, 'user': 15}, {'label': 317, 'user': 15}]","{'review_id': 1501, 'comment': 'Mua bỉm pampers khi được giảm thêm nên tính ra chưa tới 4k / miếng. Trước mình thích dùng pampers vì bỉm mỏng hơn so với Bobby và Huggies nhưng mà Bobby lại có dải băng dính cuốn miếng tã sau sử dụng. Bây giờ pampers ra dòng giữ dáng mới này vừa có vạch báo tiểu và dải băng dính cuốn miếng tã sau sử dụng ( cái này cực kỳ tiện khi gói tã lại đặc biệt khi bé đi nặng nhìn rất thẩm mỹ và không phát tán mùi ra nhiều) nên mình rất thích. Tính ra so với giá cả và chất lượng thì Pampers giữ dáng đã hội tủ các tiêu chí : vạch báo tiểu, bỉm mỏng, dải băng cuốn miếng tã so với các bỉm khác cùng phân khúc bình dân rồi vì thường chỉ có dòng cao cấp hơn mới có đủ 3 tiêu chí trên. Kết nhất là khả năng giữ dáng của Pampers vì bé mình là bé trai nên dùng các bỉm khác hay bị dồn trước xong bỉm xệ xuống nhìn hơi kỳ.', 'summary': 'Sản phẩm giá tốt ,chất lượng tốt', 'annotations': {'17': ['chất lượng +', 'giá +'], '20': ['giá +', 'chất lượng +', 'trash'], '25': ['chất lượng +', 'giá +']}}",,,,,0,1,0,1,0,0,0
1719,886180,sp đóng_gói thành hợp_lý kì hài_lòng,"[{'label': 319, 'user': 15}, {'label': 317, 'user': 15}]","{'review_id': 256, 'comment': 'Sp đóng gói chắc chắn.giá thành cũng hợp lý.cảm ơn tiki', 'summary': 'Cực kì hài lòng', 'annotations': {'20': ['giá +', 'ship +'], '25': ['giá +', 'dịch vụ +']}}",,,,,1,1,0,0,0,0,0
1720,886179,tiki đóng_gói sữa cẩn_thận mua sản_phẩm hộp sữa chèn hộp không móp méo chất_lượng sữa tốt tơi thơm hạn đổi sữa bé hợp_tác vui lắm nhân_viên giao hàng tiki nghe phản_ánh mua hàng tiki đều tuyệt_vời địa_chỉ cơ_quan hàng 7 dời địa_chỉ đều vui_vẻ hàng kiểm hàng không vui_vẻ khui hàng tiki chất_lượng sản_phẩm thái_độ phục_vụ mong_tiki tuyệt_vời như kì hài_lòng,"[{'label': 327, 'user': 15}, {'label': 319, 'user': 15}, {'label': 321, 'user': 15}, {'label': 325, 'user': 15}]","{'review_id': 13521, 'comment': 'Tiki đóng gói sữa cẩn thận, mình mua chung với các sản phẩm khác nhưng hộp sữa luôn được chèn thêm riêng, hộp không móp méo, chất lượng sữa tốt, tơi và thơm, hạn sd mới, mới đổi sữa và bé chịu hợp tác nên vui lắm, nhân viên giao hàng tiki mình nghe nhiều bạn phản ánh nhưng riêng mình đã mua hàng tiki rất nhiều lần và đều rất tuyệt vời, mình cho địa chỉ cơ quan nhưng hàng có ngay thứ 7 nên dời sang địa chỉ nhà nhưng các bạn đều vui vẻ, có lần mình thấy hàng nhỏ nên nói khỏi kiểm hàng nhưng bạn nhất định không chịu và vui vẻ khui hàng cho mình kiểm.\nXin cảm ơn Tiki về chất lượng sản phẩm và thái độ phục vụ. Mong Tiki luôn tuyệt vời như vậy.', 'summary': 'Cực kì hài lòng', 'annotations': {'19': ['an toàn +', 'chất lượng +', 'ship +'], '30': ['dịch vụ +', 'chất lượng +', 'an toàn +']}}",,,,,1,0,0,1,1,1,0
1721,886178,bỉm tốt giao nhanh ủng_hộ tiki kì hài_lòng,"[{'label': 319, 'user': 15}, {'label': 321, 'user': 15}]","{'review_id': 14368, 'comment': 'Bỉm tốt, giao nhanh, sẽ tiếp tục ủng hộ tiki dài dài', 'summary': 'Cực kì hài lòng', 'annotations': {'28': ['ship +', 'chất lượng +'], '29': ['ship +', 'chất lượng +']}}",,,,,1,0,0,1,0,0,0
1723,886176,bỉm cực_kỳ mềm bỉm ban_đêm bé không tràn mua lớn 1 kích_thước bé mặc thoải_mái không vết hằn tiki đóng_gói chắc_chắn cẩn_thận tài_khoản tikinow mua 3 gói giao hàng phí cồng_kềnh hơi ngờ kì hài_lòng,"[{'label': 325, 'user': 15}, {'label': 320, 'user': 15}, {'label': 321, 'user': 15}]","{'review_id': 14389, 'comment': 'Bỉm cực kỳ mềm, mình dùng bỉm này vào ban đêm cho bé, ko tràn ra ngoài. Mình mua lớn hơn 1 size để bé mặc thoải mái và cũng ko có vết hằn. Tiki đóng gói chắc chắn, cẩn thận, có điều, tài khoản mình là tikinow nhưng nếu mua 3 gói thì giao hàng vẫn tính phí cồng kềnh, nên cũng hơi ngờ ngợ', 'summary': 'Cực kì hài lòng', 'annotations': {'28': ['ship -', 'ship +', 'chất lượng +'], '29': ['giá -', 'dịch vụ +', 'chất lượng +']}}",,,,,1,0,0,1,1,0,0
1724,886175,gói hàng cẩn_thận sản_phẩm kì hài_lòng,"[{'label': 319, 'user': 15}, {'label': 323, 'user': 15}]","{'review_id': 14344, 'comment': 'gói hàng cẩn thận, sp chính hãng', 'summary': 'Cực kì hài lòng', 'annotations': {'28': ['chính hãng +', 'ship +'], '29': ['chính hãng +', 'dịch vụ +']}}",,,,,1,0,1,0,0,0,0
1725,886174,sản_phẩm ok đóng_gói cẩn_thận thôg báo tặng 35cm gửi không hài tặng không đúng,"[{'label': 319, 'user': 15}, {'label': 321, 'user': 15}, {'label': 326, 'user': 15}]","{'review_id': 14154, 'comment': 'sản phẩm ok. đóng gói cẩn thận. nhưng thôg báo tặng bobychan 35cm nhưng gửi về con nhỏ hơn nên ko hài lòng', 'summary': 'quà tặng ko đúng', 'annotations': {'28': ['dịch vụ -', 'ship +', 'chất lượng +'], '19': ['dịch vụ -', 'ship +']}}",,,,,1,0,0,1,1,0,0
1726,886173,tã mỏng nhẹ loại dáng cân_nhắc loại bé thoải_mái kì hài_lòng,"[{'label': 321, 'user': 15}]","{'review_id': 1083, 'comment': 'Tã này mỏng nhẹ hơn loại giữ dáng mình hay xài luôn, sẽ cân nhắc chuyển sang loại này cho bé thoải mái hơn', 'summary': 'Cực kì hài lòng', 'annotations': {'28': ['chất lượng +', 'an toàn +'], '17': ['chất lượng +'], '19': ['chất lượng +'], '20': ['chất lượng +'], '25': ['chất lượng +']}}",,,,,0,0,0,1,0,0,0
1727,886172,thấm hút tốt hơi dày 1 kì hài_lòng,"[{'label': 321, 'user': 15}]","{'review_id': 14744, 'comment': 'Thấm hút tốt, hơi dày 1 tí', 'summary': 'Cực kì hài lòng', 'annotations': {'28': ['chất lượng +'], '29': ['chất lượng +']}}",,,,,0,0,0,1,0,0,0
1728,886171,hàng tốt giao hàng kì hài_lòng,"[{'label': 319, 'user': 15}, {'label': 321, 'user': 15}]","{'review_id': 12672, 'comment': 'Hàng tốt, giao hàng nhanh', 'summary': 'Cực kì hài lòng', 'annotations': {'23': ['chất lượng +', 'ship +'], '29': ['ship +', 'chất lượng +']}}",,,,,1,0,0,1,0,0,0
1729,886170,đầu ngại thanh_toán zalopay định không mua bỉm chất_lượng tốt mua sale giá rẻ 1 nửa giao hàng nhanh đúng hẹn hài kì hài_lòng,"[{'label': 319, 'user': 15}, {'label': 321, 'user': 15}, {'label': 317, 'user': 15}]","{'review_id': 809, 'comment': 'Lúc đầu ngại thanh toán qua ZaloPay định ko mua nhưng thực sự Bỉm chất lượng tốt. Mua được lúc đang sale nên giá rẻ 1 nửa. Giao hàng nhanh và đúng hẹn. Nói chung là hài lòng', 'summary': 'Cực kì hài lòng', 'annotations': {'20': ['ship +', 'giá +'], '25': ['ship +', 'giá +', 'chất lượng +']}}",,,,,1,1,0,1,0,0,0
1730,886169,bé hợp bé 5kg lưng thun vẻ chật bụng bé vết hằn chất_lượng,"[{'label': 328, 'user': 15}]","{'review_id': 13097, 'comment': 'Bé nhà mình chỉ hợp với pampers. Tuy nhiên bé mình hơn 5kg mà lưng thun có vẻ chật so với bụng bé nên để lại vết hằn trên da.', 'summary': 'Hài lòng với chất lượng', 'annotations': {'23': ['chất lượng -'], '30': ['chất lượng -']}}",,,,,0,0,0,0,0,1,0
1731,886168,bỉm thấm hút tốt form bé 2 5.5 kg mặc chật,"[{'label': 321, 'user': 15}]","{'review_id': 13816, 'comment': 'bỉm thấm hút tốt, tuy nhiên form nhỏ quá, bé nhà mình 2 tháng 5.5kg mà mặc đã chật rồi', 'summary': 'bỉm nhỏ quá', 'annotations': {'19': ['chất lượng +'], '30': ['chất lượng -']}}",,,,,0,0,0,1,0,0,0
1733,886166,trừ sản_phẩm tốt mn kì hài_lòng,"[{'label': 321, 'user': 15}]","{'review_id': 13978, 'comment': '- Sản phẩm tốt. Mn nên mua', 'summary': 'Cực kì hài lòng', 'annotations': {'28': ['chất lượng +'], '19': ['other']}}",,,,,0,0,0,1,0,0,0
1735,886164,túi đẹp y hình tiện_lợi thoải_mái bền kì hài_lòng,"[{'label': 315, 'user': 15}]","{'review_id': 13168, 'comment': 'Túi đẹp y hình. Sử dụng tiện lợi thoải mái và bền nữa.', 'summary': 'Cực kì hài lòng', 'annotations': {'23': ['trash'], '30': ['chất lượng +']}}",,,,,0,0,0,0,0,0,0
1736,886163,tặng bịch tả bobby bệnh_viện dũ so_sánh mặt tả cảm_giác không mềm_mại bao_bì màu nhạt siêu,"[{'label': 322, 'user': 15}]","{'review_id': 492, 'comment': 'Sau khi được tặng bịch tả Bobby ở bệnh viện Từ Dũ mới có sự so sánh là mặt tả khác nhau, cảm giác không mềm mại bằng. Bao bì thì màu nhạt hơn của siêu thị.', 'summary': 'Bình thường', 'annotations': {'20': ['chất lượng -'], '25': ['chất lượng -', 'chính hãng -']}}",,,,,0,0,0,1,0,0,0
1737,886162,hàng_nhập thái_lan chất_lượng thấm hút giao hàng nhanh đóng_gói cẩn phẩm_chất_lượng tốt,"[{'label': 319, 'user': 15}, {'label': 321, 'user': 15}]","{'review_id': 14244, 'comment': 'Hàng nhập từ Thái Lan có chất lượng thấm hút. Giao hàng nhanh và đóng gói cẩn thận', 'summary': 'Sản phẩm chất lượng tốt', 'annotations': {'28': ['ship +', 'chất lượng +'], '19': ['ship +', 'chất lượng +']}}",,,,,1,0,0,1,0,0,0
1738,886161,tiki giao hàng nhanh ghê trươcs dự_kiến 1 - 2 đóng_gói cẩn_thận bỉm hạn lận mua giảm_giá giá chưa mua loại 56 miếng cửa_hàng kì hài_lòng,"[{'label': 327, 'user': 15}, {'label': 317, 'user': 15}, {'label': 319, 'user': 15}]","{'review_id': 1185, 'comment': 'Tiki giao hàng nhanh ghê trươcs thời gian dự kiến từ 1-2 ngày. Đóng gói cũng cẩn thận. Bỉm date xa tới vài năm nữa lận. Mình mua được giảm giá nên giá còn chưa bằng mua loại 56 miếng ở cửa hàng ngoài 🤗', 'summary': 'Cực kì hài lòng', 'annotations': {'28': ['giá +', 'an toàn +', 'ship +'], '17': ['giá +', 'an toàn +', 'ship +'], '20': ['typo', 'ship +', 'giá +', 'an toàn +'], '25': ['chất lượng +', 'dịch vụ +', 'ship +', 'giá +']}}",,,,,1,1,0,0,0,1,0
1739,886160,đóng_gói thận giao hàng nhanh đúng lịch chưa xài 5 giao hàng nhiệt_tình ổn ủng_hộ shop kì hài_lòng,"[{'label': 319, 'user': 15}]","{'review_id': 1173, 'comment': 'Đóng gói cần thận, giao hàng nhanh đúng lịch. Dù chưa mở ra xài, nhưng cũng đánh giá 5 sao cho người giao hàng nhiệt tình. Nếu xài ổn sẽ ủng hộ shop tiếp', 'summary': 'Cực kì hài lòng', 'annotations': {'28': ['dịch vụ +', 'ship +'], '17': ['ship +'], '20': ['ship +'], '25': ['ship +', 'dịch vụ +']}}",,,,,1,0,0,0,0,0,0
1740,886159,hài_lòng tốt kì hài_lòng,"[{'label': 316, 'user': 15}]","{'review_id': 1802, 'comment': 'Hài lòng tốt ttttttttttttttttttttttttttttttttttttttt', 'summary': 'Cực kì hài lòng', 'annotations': {'23': ['typo', 'other'], '17': ['other']}}",,,,,0,0,0,0,0,0,1
1741,886158,tả mềm mỏng bé mặc thoải kì hài_lòng,"[{'label': 321, 'user': 15}]","{'review_id': 1222, 'comment': 'Tả mềm, mỏng, bé mặc thoải mái', 'summary': 'Cực kì hài lòng', 'annotations': {'28': ['an toàn +', 'chất lượng +'], '17': ['chất lượng +']}}",,,,,0,0,0,1,0,0,0
1742,886157,mua đúng dịp tiki giảm_giá thị_trường rẻ tiki tặng địu bé tiki giao hàng cực nhanh tối hôm hôm giao sản_phẩm tốt giao hàng nhanh,"[{'label': 325, 'user': 15}, {'label': 319, 'user': 15}, {'label': 317, 'user': 15}]","{'review_id': 12986, 'comment': 'Mua đúng dịp Tiki giảm giá nên so với thị trường rẻ hơn nhiều, vậy mà còn được Tiki tặng địu cho bé thì quá thích luôn. Đặc biệt Tiki giao hàng cực nhanh vì mình vừa đặt tối hôm trước thì sáng hôm sau đã được giao sản phẩm', 'summary': 'Sản phẩm tốt, giao hàng nhanh', 'annotations': {'23': ['ship +', 'giá +'], '29': ['chất lượng +', 'ship +', 'giá +']}}",,,,,1,1,0,0,1,0,0
1744,886155,đóng_gói cẩn_thận chưa cải_thiện,"[{'label': 322, 'user': 15}, {'label': 319, 'user': 15}]","{'review_id': 14732, 'comment': 'đóng gói cẩn thận nhưng chưa thấy cải thiện tăng cân', 'summary': 'Hài lòng', 'annotations': {'28': ['ship +'], '29': ['chất lượng -', 'dịch vụ +']}}",,,,,1,0,0,1,0,0,0
1745,886154,combo 3 gói tã quần huggies dry ko rách tí giao vận_chuyển gọi báo khách_hàng không chờ_đợi ok tiki chu_đáo cố_gắng phục_vụ khách_hàng tốt ủng_hộ tiki kì hài_lòng,"[{'label': 327, 'user': 15}, {'label': 319, 'user': 15}, {'label': 325, 'user': 15}]","{'review_id': 13246, 'comment': 'Combo 3 gói tã quần Huggies Dry còn rất mới. Ko rách tí nào. Trước giao cho bên vận chuyển có gọi báo trước ngày nào nhận để khách hàng không phải chờ đợi chỉ việc đến ngày nhận là ok. Cảm ơn Tiki đã chu đáo dù khó khăn vẫn cố gắng phục vụ khách hàng tốt. Ủng hộ Tiki nhiều.', 'summary': 'Cực kì hài lòng', 'annotations': {'23': ['ship +', 'an toàn +'], '30': ['chất lượng +', 'dịch vụ +', 'ship +']}}",,,,,1,0,0,0,1,1,0
1746,886153,chất_lượng tốt giá kèm khuyến_mãi hợp_lý giao hàng hơi kì hài_lòng,"[{'label': 320, 'user': 15}, {'label': 317, 'user': 15}, {'label': 321, 'user': 15}]","{'review_id': 1895, 'comment': 'Chất lượng tốt, giá kèm khuyến mãi rất hợp lý, tuy nhiên giao hàng hơi lâu', 'summary': 'Cực kì hài lòng', 'annotations': {'28': ['ship -', 'dịch vụ +', 'chất lượng +', 'giá +'], '17': ['ship -', 'giá +', 'chất lượng +'], '19': ['ship -', 'giá +', 'chất lượng +'], '20': ['ship -', 'giá +', 'chất lượng +'], '25': ['ship -', 'giá +', 'chất lượng +']}}",,,,,1,1,0,1,0,0,0
1748,886151,sản_phẩm oke hài_lòng sp oke hài_lòng sp oke hài,"[{'label': 316, 'user': 15}]","{'review_id': 13361, 'comment': 'sp ok rất hài lòng.sp ok rất hài lòng.sp ok rất hài lòng.', 'summary': 'ok', 'annotations': {'23': ['other'], '30': ['chất lượng +']}}",,,,,0,0,0,0,0,0,1
1749,886150,ok hàng hãng giao hàng kì hài_lòng,"[{'label': 319, 'user': 15}, {'label': 323, 'user': 15}]","{'review_id': 13331, 'comment': 'Ok nhé. Hàng chính hãng, giao hàng nhanh', 'summary': 'Cực kì hài lòng', 'annotations': {'23': ['ship +', 'chính hãng +'], '30': ['ship +', 'chính hãng +']}}",,,,,1,0,1,0,0,0,0
1750,886149,đóng_gói cẩn_thận hộp dễ_thương chất gỗ,"[{'label': 315, 'user': 15}]","{'review_id': 12786, 'comment': 'Đóng gói cẩn thận, hộp răng dễ thương, chất gỗ thông.', 'summary': 'Tốt', 'annotations': {'23': ['trash'], '29': ['dịch vụ +']}}",,,,,0,0,0,0,0,0,0
1752,886147,tả quần bobby xxl chất_lượng giá rẻ chất_lượng shop kì hài_lòng,"[{'label': 321, 'user': 15}, {'label': 317, 'user': 15}]","{'review_id': 13311, 'comment': 'Tả quần Bobby XXL rất chất lượng, giá rẻ hơn bên ngoài rất nhiều mà chất lượng vẫn vậy. Cảm ơn shop nhiều nhé!', 'summary': 'Cực kì hài lòng', 'annotations': {'23': ['chất lượng +', 'giá +'], '30': ['giá +', 'chất lượng +']}}",,,,,0,1,0,1,0,0,0
1753,886146,hình,"[{'label': 315, 'user': 15}]","{'review_id': 13223, 'comment': 'Giống hình cảm ơn shop', 'summary': 'Hài lòng', 'annotations': {'23': ['trash'], '30': ['trash']}}",,,,,0,0,0,0,0,0,0
1754,886145,giao hàng nhanh ok giá_cả rẻ ủng_hộ tiếp kì hài_lòng,"[{'label': 319, 'user': 15}, {'label': 321, 'user': 15}, {'label': 317, 'user': 15}]","{'review_id': 14211, 'comment': 'giao hàng nhanh chóng,chất lượng ok,giá cả rẻ cho mọi người, sẽ ủng hộ tiếp okokok', 'summary': 'Cực kì hài lòng', 'annotations': {'28': ['typo', 'giá +', 'chất lượng +', 'ship +'], '19': ['giá +', 'chất lượng +', 'ship +']}}",,,,,1,1,0,1,0,0,0
1755,886144,chất_lượng,"[{'label': 321, 'user': 15}]","{'review_id': 14278, 'comment': 'Chất lượng ổn.', 'summary': 'Hài lòng', 'annotations': {'28': ['chất lượng +'], '19': ['chất lượng +']}}",,,,,0,0,0,1,0,0,0
1756,886143,sản_phẩm_chất kì hài_lòng,"[{'label': 321, 'user': 15}]","{'review_id': 13333, 'comment': 'Sản phẩm chất lượng', 'summary': 'Cực kì hài lòng', 'annotations': {'23': ['other'], '30': ['chất lượng +']}}",,,,,0,0,0,1,0,0,0
1757,886142,đủ sản_phẩm tốt giao,"[{'label': 319, 'user': 15}, {'label': 325, 'user': 15}, {'label': 321, 'user': 15}]","{'review_id': 26, 'comment': 'Đủ sp Tốt, giao nhanh', 'summary': 'Hài lòng', 'annotations': {'19': ['ship +', 'dịch vụ +'], '20': ['ship +', 'chất lượng +'], '25': ['ship +', 'chất lượng +']}}",,,,,1,0,0,1,1,0,0
1758,886141,sữa thơm ngon tiki hộp sữa thùng tiki hộp sữa không gói kỹ như hàng hộp sữa nóng giao trưa tiki vui_lòng gói sữa kỹ kì hài_lòng,"[{'label': 320, 'user': 15}, {'label': 321, 'user': 15}]","{'review_id': 12752, 'comment': 'Sữa thơm ngon. Mà lần này Tiki chỉ cho hộp sữa vào thùng Tiki chứ hộp sữa không được gói kỹ như những lần trước. Lúc nhận hàng thì thấy hộp sữa bị nóng do giao buổi trưa. Tiki vui lòng gói sữa kỹ hơn cho lần sau nhé.', 'summary': 'Cực kì hài lòng', 'annotations': {'23': ['ship -'], '29': ['dịch vụ -', 'chất lượng +']}}",,,,,1,0,0,1,0,0,0
1760,886139,giao hàng nhanh tã mỏng nhẹ cảm_giác mỏng tã đợt mùi trà xanh nhẹ ( không tã mùi trừ 1,"[{'label': 322, 'user': 15}, {'label': 319, 'user': 15}]","{'review_id': 1749, 'comment': 'giao hàng nhanh, tã mỏng nhẹ, cảm giác mỏng hơn tã đợt trước, có mùi trà xanh nhẹ (mình ko thích tã có mùi nên trừ 1 sao)', 'summary': 'Hài lòng', 'annotations': {'28': ['an toàn -', 'chất lượng +', 'ship +'], '17': ['chất lượng +', 'ship +'], '20': ['ship +', 'chất lượng -'], '25': ['ship +', 'chất lượng +']}}",,,,,1,0,0,1,0,0,0
1761,886138,tiki đóng_gói cẩn_thận giao hàng nhanh sản_phẩm bỉm mua thường_xuyên tiki kì hài_lòng,"[{'label': 319, 'user': 15}, {'label': 321, 'user': 15}]","{'review_id': 13797, 'comment': 'Tiki đóng gói cẩn thận, giao hàng nhanh, sản phẩm Bỉm này mình mua thường xuyên của Tiki nên rất ưng', 'summary': 'Cực kì hài lòng', 'annotations': {'19': ['ship +'], '30': ['chất lượng +', 'ship +', 'dịch vụ +']}}",,,,,1,0,0,1,0,0,0
1762,886137,sản_phẩm không tem cào dự thưởng phẩm thiếu_phụ_kiện,"[{'label': 326, 'user': 15}]","{'review_id': 1122, 'comment': 'mình nhận sản phẩm nhưng không có tem cào dự thưởng của pamper', 'summary': 'Sản phẩm thiếu phụ kiện', 'annotations': {'17': ['dịch vụ -']}}",,,,,0,0,0,0,1,0,0
1763,886136,đóng_gói cẩn_thận sản_phẩm hàng huggies,"[{'label': 319, 'user': 15}, {'label': 321, 'user': 15}]","{'review_id': 14146, 'comment': 'Đóng gói cẩn thận, sản phẩm rất tốt\nGiao hàng nhanh', 'summary': 'Tả huggies', 'annotations': {'28': ['chất lượng +', 'ship +'], '19': ['ship +']}}",,,,,1,0,0,1,0,0,0
1765,886134,tả thấm thay tả liên_tục bé ngủ đêm tràn,"[{'label': 322, 'user': 15}]","{'review_id': 8, 'comment': 'tả bị thấm ra ngoài, phải thay tả liên tục cho bé. ngủ đêm là thế nào cũng tràn ra ngoài', 'summary': 'Hài lòng', 'annotations': {'28': ['chất lượng -'], '17': ['chất lượng -'], '19': ['chất lượng -'], '20': ['chất lượng -'], '25': ['chất lượng -']}}",,,,,0,0,0,1,0,0,0
1766,886133,mua bỉm không kịp chạy siêu_thị bịch pamper tạm pamper cũ bỉm cứng lắm thấm hút tốt ngang merries không cứng pamper ra_mắt dòng dáng sp tiền mềm_mỏng thấm hút ok kích_thước bỉm hơi 1 phẩm tốt,"[{'label': 321, 'user': 15}, {'label': 317, 'user': 15}]","{'review_id': 1010, 'comment': 'Trước đây mình hay mua merries, có lần hết bỉm đặt k kịp mới chạy sang siêu thị gần nhà lấy bịch pamper nhỏ dùng tạm. Lúc đó vẫn là pamper cũ nên bỉm cứng lắm đc cái thấm hút thì tốt ngang merries nhưng vẫn k muốn dùng vì nó cứng quá, cho đến khi pamper ra mắt dòng giữ dáng. Sp vừa tiền, mềm mỏng, thấm hút ok. So với size thì bỉm hơi nhỏ 1 chút.', 'summary': 'Sản phẩm tốt', 'annotations': {'28': ['chất lượng +', 'giá +'], '17': ['chất lượng +', 'giá +'], '19': ['giá +', 'chất lượng +'], '20': ['trash', 'chất lượng +', 'giá +'], '25': ['giá +', 'chất lượng +']}}",,,,,0,1,0,1,0,0,0
1767,886132,size thun mềm_mại không vết hằn da,"[{'label': 321, 'user': 15}]","{'review_id': 13802, 'comment': 'Size vừa vặn,Lưng thun mềm mại ko có vết hằn lên da bé', 'summary': 'Hài lòng', 'annotations': {'19': ['chất lượng +'], '30': ['chất lượng +']}}",,,,,0,0,0,1,0,0,0
1768,886131,sản_phẩm_giá tốt kì hài_lòng,"[{'label': 317, 'user': 15}, {'label': 321, 'user': 15}]","{'review_id': 719, 'comment': 'Sản phẩm giá tốt và sử dụng oki!', 'summary': 'Cực kì hài lòng', 'annotations': {'20': ['trash'], '25': ['chất lượng +']}}",,,,,0,1,0,1,0,0,0
1769,886130,tã mỏng mịn bé tè sờ bề mặc tã ẩm bé,"[{'label': 328, 'user': 15}, {'label': 321, 'user': 15}]","{'review_id': 14510, 'comment': 'Tã rất mỏng và mịn tuy nhiên khi bé tè mình sờ bề mặc tã thì bị ẩm nên bé dễ bị hăm', 'summary': 'Bình thường', 'annotations': {'28': ['an toàn -', 'chất lượng +'], '29': ['an toàn -', 'chất lượng +']}}",,,,,0,0,0,1,0,1,0
1770,886129,tả êm giá hơi hihi tiền phẩm_chất_lượng,"[{'label': 318, 'user': 15}, {'label': 321, 'user': 15}]","{'review_id': 13035, 'comment': 'Tả dùng rất êm, tuy nhiên giá hơi cao hihi, tiền nào của đó thôi', 'summary': 'Sản phẩm chất lượng', 'annotations': {'23': ['chất lượng +', 'giá -'], '30': ['giá -', 'chất lượng +']}}",,,,,0,1,0,1,0,0,0
1771,886128,xài ok giá rẻ giao tận kì hài_lòng,"[{'label': 319, 'user': 15}, {'label': 321, 'user': 15}, {'label': 317, 'user': 15}]","{'review_id': 12811, 'comment': 'Xài ok. Giá rẻ hơn mà đc giao tận nhà', 'summary': 'Cực kì hài lòng', 'annotations': {'23': ['ship +', 'giá +'], '29': ['ship +', 'giá +', 'chất lượng +']}}",,,,,1,1,0,1,0,0,0
1772,886127,nhân_viên giao hàng nhiệt đóng_gói cẩn giá,"[{'label': 319, 'user': 15}]","{'review_id': 14441, 'comment': 'Nhân viên giao hàng nhiệt tình,hàng đóng gói cẩn thận,', 'summary': 'Đánh giá', 'annotations': {'28': ['ship +', 'dịch vụ +'], '29': ['dịch vụ +', 'ship +']}}",,,,,1,0,0,0,0,0,0
1773,886126,hàng chỗ tem abbot dán băng_keo như gỡ dán cầu tiki làm_việc đối_tác giao hàng đúng chất_lượng sữa bình_thường không dán băng_keo chỗ tem ngờ sữa giả,"[{'label': 328, 'user': 15}, {'label': 322, 'user': 15}]","{'review_id': 14670, 'comment': 'Mới nhận hàng, ngay chỗ tem abbot thấy bị dán băng keo giống như đã bị gỡ ra dán lại.\nYêu cầu tiki làm việc với đối tác để giao hàng đúng chất lượng. Nếu sữa bình thường thì không việc gì phải dán băng keo ngay chỗ tem cả.', 'summary': 'Nghi ngờ sữa giả', 'annotations': {'28': ['chất lượng -', 'an toàn -'], '29': ['chất lượng -', 'chính hãng -']}}",,,,,0,0,0,1,0,1,0
1774,886125,giao nhanh dự_định sản_phẩm oke chất_lượng áp mã giảm_giá giá kì hài_lòng,"[{'label': 319, 'user': 15}, {'label': 321, 'user': 15}, {'label': 317, 'user': 15}]","{'review_id': 1710, 'comment': 'Giao nhanh hơn dự định, sản phẩm ok chất lượng. Có áp mã giảm giá nên được giá tốt', 'summary': 'Cực kì hài lòng', 'annotations': {'28': ['giá +', 'chất lượng +', 'ship +'], '17': ['giá +', 'chất lượng +', 'ship +'], '20': ['trash'], '25': ['giá +', 'chất lượng +', 'ship +']}}",,,,,1,1,0,1,0,0,0
1776,886123,lưng tã không co_dãn mặc bé bỉm xệ,"[{'label': 322, 'user': 15}]","{'review_id': 13257, 'comment': 'Lưng tã k co dãn nên khó mặc cho bé, bỉm bị xệ nhiều', 'summary': 'Bình thường', 'annotations': {'23': ['chất lượng -'], '30': ['chất lượng -']}}",,,,,0,0,0,1,0,0,0
1777,886122,ok mua mấy kì hài_lòng,"[{'label': 316, 'user': 15}]","{'review_id': 12815, 'comment': 'OK nên mua mấy lần rồi hihi', 'summary': 'Cực kì hài lòng', 'annotations': {'23': ['other'], '29': ['other']}}",,,,,0,0,0,0,0,0,1
